TimeUS,rpm1,rpm2,timestamp
1108551861.0,-1.0,-1.0,1668051280.870882
1108576914.0,-1.0,-1.0,1668051280.895935
1108601614.0,-1.0,-1.0,1668051280.920635
1108626732.0,-1.0,-1.0,1668051280.945753
1108651613.0,-1.0,-1.0,1668051280.970634
1108676932.0,-1.0,-1.0,1668051280.995953
1108701386.0,-1.0,-1.0,1668051281.020407
1108726686.0,-1.0,-1.0,1668051281.045707
1108751699.0,-1.0,-1.0,1668051281.07072
1108776835.0,-1.0,-1.0,1668051281.095856
1108801628.0,-1.0,-1.0,1668051281.120649
1108826781.0,-1.0,-1.0,1668051281.145802
1108851660.0,-1.0,-1.0,1668051281.170681
1108876991.0,-1.0,-1.0,1668051281.196012
1108901418.0,-1.0,-1.0,1668051281.220439
1108926688.0,-1.0,-1.0,1668051281.245709
1108951648.0,-1.0,-1.0,1668051281.270669
1108976985.0,-1.0,-1.0,1668051281.296006
1109001806.0,-1.0,-1.0,1668051281.320827
1109026698.0,-1.0,-1.0,1668051281.345719
1109051685.0,-1.0,-1.0,1668051281.370706
1109076906.0,-1.0,-1.0,1668051281.395927
1109101407.0,-1.0,-1.0,1668051281.420428
1109126688.0,-1.0,-1.0,1668051281.445709
1109151580.0,-1.0,-1.0,1668051281.470601
1109177193.0,-1.0,-1.0,1668051281.496214
1109201598.0,-1.0,-1.0,1668051281.520619
1109226732.0,-1.0,-1.0,1668051281.545753
1109251617.0,-1.0,-1.0,1668051281.570638
1109276768.0,-1.0,-1.0,1668051281.595789
1109301518.0,-1.0,-1.0,1668051281.620539
1109326643.0,-1.0,-1.0,1668051281.645664
1109351622.0,-1.0,-1.0,1668051281.670643
1109376793.0,-1.0,-1.0,1668051281.695814
1109401409.0,-1.0,-1.0,1668051281.72043
1109426775.0,-1.0,-1.0,1668051281.745796
1109451792.0,-1.0,-1.0,1668051281.770813
1109476765.0,-1.0,-1.0,1668051281.795786
1109501782.0,-1.0,-1.0,1668051281.820803
1109526890.0,-1.0,-1.0,1668051281.845911
1109551601.0,-1.0,-1.0,1668051281.870622
1109576910.0,-1.0,-1.0,1668051281.895931
1109601504.0,-1.0,-1.0,1668051281.920525
1109626717.0,-1.0,-1.0,1668051281.945738
1109651777.0,-1.0,-1.0,1668051281.970798
1109676867.0,-1.0,-1.0,1668051281.995888
1109701477.0,-1.0,-1.0,1668051282.020498
1109726836.0,-1.0,-1.0,1668051282.045857
1109751666.0,-1.0,-1.0,1668051282.070687
1109776865.0,-1.0,-1.0,1668051282.095886
1109801451.0,-1.0,-1.0,1668051282.120472
1109826702.0,-1.0,-1.0,1668051282.145723
1109851638.0,-1.0,-1.0,1668051282.170659
1109877121.0,-1.0,-1.0,1668051282.196142
1109901552.0,-1.0,-1.0,1668051282.220573
1109926745.0,-1.0,-1.0,1668051282.245766
1109951618.0,-1.0,-1.0,1668051282.270639
1109976915.0,-1.0,-1.0,1668051282.2959359
1110001642.0,-1.0,-1.0,1668051282.320663
1110026715.0,-1.0,-1.0,1668051282.345736
1110051578.0,-1.0,-1.0,1668051282.370599
1110076912.0,-1.0,-1.0,1668051282.395933
1110101517.0,-1.0,-1.0,1668051282.420538
1110126862.0,-1.0,-1.0,1668051282.445883
1110151748.0,-1.0,-1.0,1668051282.470769
1110177148.0,-1.0,-1.0,1668051282.496169
1110201531.0,-1.0,-1.0,1668051282.520552
1110226634.0,-1.0,-1.0,1668051282.545655
1110251625.0,-1.0,-1.0,1668051282.570646
1110276747.0,-1.0,-1.0,1668051282.595768
1110301438.0,-1.0,-1.0,1668051282.620459
1110326799.0,-1.0,-1.0,1668051282.64582
1110351687.0,-1.0,-1.0,1668051282.670708
1110376867.0,-1.0,-1.0,1668051282.695888
1110401455.0,-1.0,-1.0,1668051282.720476
1110426752.0,-1.0,-1.0,1668051282.745773
1110451623.0,-1.0,-1.0,1668051282.770644
1110476901.0,-1.0,-1.0,1668051282.795922
1110501770.0,-1.0,-1.0,1668051282.820791
1110526713.0,-1.0,-1.0,1668051282.845734
1110551779.0,-1.0,-1.0,1668051282.8708
1110576784.0,-1.0,-1.0,1668051282.895805
1110601496.0,-1.0,-1.0,1668051282.920517
1110626754.0,-1.0,-1.0,1668051282.945775
1110651816.0,-1.0,-1.0,1668051282.9708369
1110676911.0,-1.0,-1.0,1668051282.995932
1110701405.0,-1.0,-1.0,1668051283.020426
1110726762.0,-1.0,-1.0,1668051283.045783
1110751620.0,-1.0,-1.0,1668051283.070641
1110777204.0,-1.0,-1.0,1668051283.096225
1110801602.0,-1.0,-1.0,1668051283.1206229
1110826746.0,-1.0,-1.0,1668051283.145767
1110851681.0,-1.0,-1.0,1668051283.170702
1110876915.0,-1.0,-1.0,1668051283.195936
1110901383.0,-1.0,-1.0,1668051283.220404
1110926665.0,-1.0,-1.0,1668051283.245686
1110951633.0,-1.0,-1.0,1668051283.270654
1110976919.0,-1.0,-1.0,1668051283.29594
1111001822.0,-1.0,-1.0,1668051283.320843
1111026678.0,-1.0,-1.0,1668051283.345699
1111051651.0,-1.0,-1.0,1668051283.370672
1111076944.0,-1.0,-1.0,1668051283.395965
1111101508.0,-1.0,-1.0,1668051283.420529
1111126684.0,-1.0,-1.0,1668051283.445705
1111151655.0,-1.0,-1.0,1668051283.470676
1111177260.0,-1.0,-1.0,1668051283.496281
1111201490.0,-1.0,-1.0,1668051283.520511
1111226820.0,-1.0,-1.0,1668051283.545841
1111251657.0,-1.0,-1.0,1668051283.570678
1111276855.0,-1.0,-1.0,1668051283.595876
1111301765.0,-1.0,-1.0,1668051283.620786
1111326638.0,-1.0,-1.0,1668051283.645659
1111351610.0,-1.0,-1.0,1668051283.670631
1111376809.0,-1.0,-1.0,1668051283.6958299
1111401397.0,-1.0,-1.0,1668051283.720418
1111426663.0,-1.0,-1.0,1668051283.745684
1111451642.0,-1.0,-1.0,1668051283.770663
1111476754.0,-1.0,-1.0,1668051283.795775
1111501753.0,-1.0,-1.0,1668051283.820774
1111526750.0,-1.0,-1.0,1668051283.845771
1111551734.0,-1.0,-1.0,1668051283.870755
1111576795.0,-1.0,-1.0,1668051283.895816
1111601409.0,-1.0,-1.0,1668051283.92043
1111626724.0,-1.0,-1.0,1668051283.945745
1111651620.0,-1.0,-1.0,1668051283.970641
1111676988.0,-1.0,-1.0,1668051283.9960089
1111701641.0,-1.0,-1.0,1668051284.020662
1111726660.0,-1.0,-1.0,1668051284.045681
1111751617.0,-1.0,-1.0,1668051284.070638
1111776837.0,-1.0,-1.0,1668051284.095858
1111801381.0,-1.0,-1.0,1668051284.120402
1111826878.0,-1.0,-1.0,1668051284.145899
1111851609.0,-1.0,-1.0,1668051284.17063
1111876868.0,-1.0,-1.0,1668051284.195889
1111901497.0,-1.0,-1.0,1668051284.2205179
1111926770.0,-1.0,-1.0,1668051284.245791
1111951669.0,-1.0,-1.0,1668051284.27069
1111976945.0,-1.0,-1.0,1668051284.295966
1112001808.0,-1.0,-1.0,1668051284.320829
1112026783.0,-1.0,-1.0,1668051284.345804
1112051681.0,-1.0,-1.0,1668051284.370702
1112076860.0,-1.0,-1.0,1668051284.395881
1112101454.0,-1.0,-1.0,1668051284.420475
1112126816.0,-1.0,-1.0,1668051284.445837
1112151629.0,-1.0,-1.0,1668051284.47065
1112177257.0,-1.0,-1.0,1668051284.496278
1112201487.0,-1.0,-1.0,1668051284.520508
1112226933.0,-1.0,-1.0,1668051284.545954
1112251562.0,-1.0,-1.0,1668051284.570583
1112276881.0,-1.0,-1.0,1668051284.595902
1112301459.0,-1.0,-1.0,1668051284.62048
1112326773.0,-1.0,-1.0,1668051284.645794
1112352001.0,-1.0,-1.0,1668051284.671022
1112376940.0,-1.0,-1.0,1668051284.695961
1112401542.0,-1.0,-1.0,1668051284.720563
1112426707.0,-1.0,-1.0,1668051284.745728
1112451698.0,-1.0,-1.0,1668051284.770719
1112476796.0,-1.0,-1.0,1668051284.795817
1112501674.0,-1.0,-1.0,1668051284.820695
1112526739.0,-1.0,-1.0,1668051284.8457599
1112551646.0,-1.0,-1.0,1668051284.870667
1112577070.0,-1.0,-1.0,1668051284.896091
1112601653.0,-1.0,-1.0,1668051284.920674
1112626796.0,-1.0,-1.0,1668051284.945817
1112651760.0,-1.0,-1.0,1668051284.970781
1112676895.0,-1.0,-1.0,1668051284.995916
1112701555.0,-1.0,-1.0,1668051285.020576
1112726669.0,-1.0,-1.0,1668051285.04569
1112751726.0,-1.0,-1.0,1668051285.070747
1112776869.0,-1.0,-1.0,1668051285.09589
1112801559.0,-1.0,-1.0,1668051285.12058
1112826716.0,-1.0,-1.0,1668051285.145737
1112851642.0,-1.0,-1.0,1668051285.1706629
1112877002.0,-1.0,-1.0,1668051285.196023
1112901548.0,-1.0,-1.0,1668051285.220569
1112926827.0,-1.0,-1.0,1668051285.245848
1112951619.0,-1.0,-1.0,1668051285.27064
1112976849.0,-1.0,-1.0,1668051285.29587
1113001664.0,-1.0,-1.0,1668051285.320685
1113026833.0,-1.0,-1.0,1668051285.345854
1113051676.0,-1.0,-1.0,1668051285.370697
1113076895.0,-1.0,-1.0,1668051285.395916
1113101469.0,-1.0,-1.0,1668051285.42049
1113126740.0,-1.0,-1.0,1668051285.445761
1113151602.0,-1.0,-1.0,1668051285.470623
1113177189.0,-1.0,-1.0,1668051285.49621
1113201415.0,-1.0,-1.0,1668051285.520436
1113226658.0,-1.0,-1.0,1668051285.545679
1113251744.0,-1.0,-1.0,1668051285.570765
1113277012.0,-1.0,-1.0,1668051285.596033
1113301510.0,-1.0,-1.0,1668051285.620531
1113326699.0,-1.0,-1.0,1668051285.64572
1113351775.0,-1.0,-1.0,1668051285.670796
1113376887.0,-1.0,-1.0,1668051285.695908
1113401553.0,-1.0,-1.0,1668051285.720574
1113426704.0,-1.0,-1.0,1668051285.745725
1113451572.0,-1.0,-1.0,1668051285.770593
1113476975.0,-1.0,-1.0,1668051285.795996
1113501946.0,-1.0,-1.0,1668051285.820967
1113526686.0,-1.0,-1.0,1668051285.845707
1113551732.0,-1.0,-1.0,1668051285.870753
1113576828.0,-1.0,-1.0,1668051285.895849
1113601460.0,-1.0,-1.0,1668051285.920481
1113626674.0,-1.0,-1.0,1668051285.945695
1113651566.0,-1.0,-1.0,1668051285.970587
1113676823.0,-1.0,-1.0,1668051285.995844
1113701530.0,-1.0,-1.0,1668051286.020551
1113726657.0,-1.0,-1.0,1668051286.045678
1113751652.0,-1.0,-1.0,1668051286.070673
1113776788.0,-1.0,-1.0,1668051286.095809
1113801645.0,-1.0,-1.0,1668051286.120666
1113826807.0,-1.0,-1.0,1668051286.145828
1113851646.0,-1.0,-1.0,1668051286.170667
1113876950.0,-1.0,-1.0,1668051286.195971
1113901615.0,-1.0,-1.0,1668051286.220636
1113926922.0,-1.0,-1.0,1668051286.245943
1113951709.0,-1.0,-1.0,1668051286.27073
1113976919.0,-1.0,-1.0,1668051286.29594
1114001736.0,-1.0,-1.0,1668051286.320757
1114026701.0,-1.0,-1.0,1668051286.345722
1114051601.0,-1.0,-1.0,1668051286.370622
1114076896.0,-1.0,-1.0,1668051286.395917
1114101400.0,-1.0,-1.0,1668051286.420421
1114126734.0,-1.0,-1.0,1668051286.445755
1114151742.0,-1.0,-1.0,1668051286.470763
1114176900.0,-1.0,-1.0,1668051286.495921
1114201638.0,-1.0,-1.0,1668051286.520659
1114226758.0,-1.0,-1.0,1668051286.545779
1114251625.0,-1.0,-1.0,1668051286.570646
1114276847.0,-1.0,-1.0,1668051286.5958679
1114301414.0,-1.0,-1.0,1668051286.620435
1114326834.0,-1.0,-1.0,1668051286.645855
1114351669.0,-1.0,-1.0,1668051286.67069
