TimeUS,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos,timestamp
1135974591.0,0.0,0.0,0.0,0.0,6.2700000000000005,0.76,-0.05,6.37,0.13,0.0011856842320412397,0.005534455645829439,0.025121884420514107,1668051308.293612
1136074400.0,0.0,0.0,0.0,0.0,6.26,0.76,-0.06,6.37,0.12,0.001240872428752482,0.0038071717135608196,0.025428859516978264,1668051308.393421
1136174409.0,0.0,0.0,0.0,0.0,6.26,0.76,-0.03,6.3500000000000005,0.12,0.0012930970406159759,0.00655072508379817,0.029995983466506004,1668051308.49343
1136274568.0,0.0,0.0,0.0,0.0,6.24,0.76,-0.01,6.32,0.12,0.001340158749371767,0.004766416270285845,0.02393832616508007,1668051308.593589
1136374557.0,0.0,0.0,0.0,0.0,6.24,0.76,-0.01,6.32,0.12,0.0012633061269298196,0.0077059390023350716,0.03052118979394436,1668051308.693578
1136474407.0,0.0,0.0,0.0,0.0,6.21,0.76,0.0,6.3,0.12,0.001324986107647419,0.006696577649563551,0.025377554818987846,1668051308.793428
1136574418.0,0.0,0.0,0.0,0.0,6.18,0.76,0.0,6.25,0.12,0.0013536897022277117,0.004476503934711218,0.02427026256918907,1668051308.893439
1136674590.0,0.0,0.0,0.0,0.0,6.140000000000001,0.76,0.0,6.22,0.12,0.001343536889180541,0.004651115741580725,0.02422061190009117,1668051308.993611
1136774275.0,0.0,0.0,0.0,0.0,6.1000000000000005,0.77,0.0,6.17,0.12,0.0014192539965733886,0.007630084175616503,0.017836110666394234,1668051309.093296
1136874404.0,0.0,0.0,0.0,0.0,6.0600000000000005,0.77,0.0,6.12,0.12,0.0011486561270430684,0.006215361878275871,0.020467959344387054,1668051309.193425
1136974653.0,0.0,0.0,0.0,0.0,6.05,0.76,0.01,6.1000000000000005,0.11,0.0012307136785238981,0.004355132579803467,0.02867841348052025,1668051309.293674
1137074426.0,0.0,0.0,0.0,0.0,6.0200000000000005,0.76,0.01,6.1000000000000005,0.11,0.0009549857350066304,0.0036063704174011946,0.02247403934597969,1668051309.393447
1137174429.0,0.0,0.0,0.0,0.0,6.0200000000000005,0.76,0.05,6.0200000000000005,0.11,0.0011910463217645884,0.0028939442709088326,0.02635045163333416,1668051309.49345
1137274427.0,0.0,0.0,0.0,0.0,6.01,0.76,0.05,6.0200000000000005,0.11,0.0009506865171715617,0.002829608041793108,0.0270646121352911,1668051309.593448
1137374548.0,0.0,0.0,0.0,0.0,6.01,0.76,0.06,5.97,0.12,0.0010838130256161094,0.008275255560874939,0.02618265524506569,1668051309.693569
1137474406.0,0.0,0.0,0.0,0.0,6.01,0.76,0.08,5.95,0.12,0.0009387683821842074,0.005500616040080786,0.019436322152614594,1668051309.793427
1137574744.0,0.0,0.0,0.0,0.0,6.01,0.76,0.08,5.95,0.12,0.0010098771890625358,0.012472022324800491,0.026747412979602814,1668051309.893765
1137674427.0,0.0,0.0,0.0,0.0,6.01,0.75,0.13,5.9,0.12,0.000915585202164948,0.008284997195005417,0.02059670351445675,1668051309.993448
1137774286.0,0.0,0.0,0.0,0.0,6.0200000000000005,0.75,0.13,5.9,0.12,0.0009397831163369119,0.009016578085720539,0.02337111160159111,1668051310.093307
1137874367.0,0.0,0.0,0.0,0.0,6.0200000000000005,0.74,0.16,5.87,0.12,0.0009897176641970873,0.005944389849901199,0.0156022347509861,1668051310.193388
1137974440.0,0.0,0.0,0.0,0.0,6.01,0.74,0.16,5.87,0.12,0.0009521716274321079,0.004531229846179485,0.014273847453296185,1668051310.293461
1138074433.0,0.0,0.0,0.0,0.0,6.01,0.73,0.17,5.8500000000000005,0.12,0.0011160628637298942,0.003415919141843915,0.013120673596858978,1668051310.393454
1138174554.0,0.0,0.0,0.0,0.0,6.0200000000000005,0.73,0.17,5.8500000000000005,0.12,0.001072174054570496,0.006561711896210909,0.01827782206237316,1668051310.493575
1138274428.0,0.0,0.0,0.0,0.0,6.01,0.73,0.18,5.8500000000000005,0.12,0.0011906945146620274,0.004237601533532143,0.014800343662500381,1668051310.5934489
1138374605.0,0.0,0.0,0.0,0.0,6.01,0.72,0.16,5.87,0.13,0.0010910038836300373,0.004921327345073223,0.018033776432275772,1668051310.693626
1138474705.0,0.0,0.0,0.0,0.0,6.01,0.72,0.16,5.87,0.13,0.0011958106188103557,0.004308450501412153,0.01510948222130537,1668051310.793726
1138574459.0,0.0,0.0,0.0,0.0,5.99,0.72,0.16,5.8500000000000005,0.13,0.0011401618830859661,0.0039252303540706635,0.011250159703195095,1668051310.89348
1138674403.0,0.0,0.0,0.0,0.0,5.99,0.72,0.16,5.8500000000000005,0.13,0.0011589564383029938,0.0036606851499527693,0.009862902574241161,1668051310.993424
1138774382.0,0.0,0.0,0.0,0.0,5.98,0.71,0.15,5.8500000000000005,0.13,0.0011789192212745547,0.0048063877038657665,0.012250573374330997,1668051311.093403
1138874536.0,0.0,0.0,0.0,0.0,5.96,0.7000000000000001,0.16,5.82,0.13,0.0011694763088598847,0.003427413059398532,0.009425094351172447,1668051311.193557
1138974433.0,0.0,0.0,0.0,0.0,5.95,0.7000000000000001,0.18,5.8,0.13,0.001192746451124549,0.004820349160581827,0.011945034377276897,1668051311.293454
1139074556.0,0.0,0.0,0.0,0.0,5.94,0.7000000000000001,0.18,5.8,0.13,0.001185572356916964,0.004347111098468304,0.010332806967198849,1668051311.393577
1139174420.0,0.0,0.0,0.0,0.0,5.92,0.6900000000000001,0.14,5.8,0.13,0.0012183113722130656,0.008682435378432274,0.02112557180225849,1668051311.493441
1139274494.0,0.0,0.0,0.0,0.0,5.91,0.6900000000000001,0.13,5.8,0.13,0.0011517881648615003,0.005020164884626865,0.014007684774696827,1668051311.593515
1139374624.0,0.0,0.0,0.0,0.0,5.89,0.6900000000000001,0.13,5.8,0.13,0.0012469033244997263,0.00605240510776639,0.022595539689064026,1668051311.693645
1139474351.0,0.0,0.0,0.0,0.0,5.88,0.68,0.1,5.8,0.13,0.0012087509967386723,0.0032708183862268925,0.01634962670505047,1668051311.793372
1139574474.0,0.0,0.0,0.0,0.0,5.88,0.68,0.13,5.7700000000000005,0.13,0.0012966999784111977,0.0022476038429886103,0.011492250487208366,1668051311.893495
1139674491.0,0.0,0.0,0.0,0.0,5.87,0.68,0.09,5.8,0.13,0.0012761744437739253,0.0016529723070561886,0.00785550195723772,1668051311.993512
1139774247.0,0.0,0.0,0.0,0.0,5.87,0.67,0.09,5.8,0.13,0.0012728436850011349,0.001977540086954832,0.008610520511865616,1668051312.093268
1139874369.0,0.0,0.0,0.0,0.0,5.86,0.67,0.11,5.7700000000000005,0.13,0.0012933410471305251,0.0019188784062862396,0.005585786420851946,1668051312.19339
1139974456.0,0.0,0.0,0.0,0.0,5.87,0.67,0.11,5.7700000000000005,0.13,0.001337613444775343,0.002445921301841736,0.008246158249676228,1668051312.293477
1140074307.0,0.0,0.0,0.0,0.0,5.86,0.66,0.11,5.7700000000000005,0.13,0.001350192236714065,0.003994663245975971,0.00924353115260601,1668051312.393328
1140174478.0,0.0,0.0,0.0,0.0,5.86,0.66,0.12,5.7700000000000005,0.13,0.0012652197619900107,0.004744610749185085,0.01499082986265421,1668051312.493499
1140274500.0,0.0,0.0,0.0,0.0,5.86,0.65,0.11,5.7700000000000005,0.13,0.001310040126554668,0.004002869129180908,0.011928829364478588,1668051312.5935209
1140374586.0,0.0,0.0,0.0,0.0,5.86,0.65,0.13,5.75,0.13,0.0012753474293276668,0.005614548921585083,0.015368172898888588,1668051312.693607
1140474350.0,0.0,0.0,0.0,0.0,5.8500000000000005,0.64,0.13,5.75,0.13,0.0013499483466148376,0.003820324782282114,0.009423121809959412,1668051312.793371
1140574586.0,0.0,0.0,0.0,0.0,5.8500000000000005,0.64,0.15,5.72,0.13,0.001314962049946189,0.006357294507324696,0.016468115150928497,1668051312.893607
1140674441.0,0.0,0.0,0.0,0.0,5.84,0.64,0.15,5.72,0.13,0.0014214516850188375,0.0030777081847190857,0.009314674884080887,1668051312.993462
1140774525.0,0.0,0.0,0.0,0.0,5.84,0.63,0.15,5.72,0.13,0.0014536406379193068,0.00481474818661809,0.015481719747185707,1668051313.093546
1140874443.0,0.0,0.0,0.0,0.0,5.84,0.63,0.15,5.72,0.13,0.0015193462604656816,0.0013078341726213694,0.006606157403439283,1668051313.193464
1140974404.0,0.0,0.0,0.0,0.0,5.83,0.62,0.13,5.72,0.13,0.0015177001478150487,0.0030200055334717035,0.01099939551204443,1668051313.293425
1141074459.0,0.0,0.0,0.0,0.0,5.83,0.62,0.13,5.72,0.13,0.0015860636485740542,0.0037103858776390553,0.005971730221062899,1668051313.39348
1141174813.0,0.0,0.0,0.0,0.0,5.82,0.62,0.13,5.72,0.13,0.001598331960849464,0.001787917804904282,0.009013229981064796,1668051313.493834
1141274480.0,0.0,0.0,0.0,0.0,5.8100000000000005,0.61,0.12,5.72,0.13,0.0016429208917543292,0.0035217616241425276,0.005015702918171883,1668051313.593501
1141374462.0,0.0,0.0,0.0,0.0,5.8100000000000005,0.61,0.13,5.7,0.13,0.001535541727207601,0.004571869038045406,0.013733289204537868,1668051313.6934829
