TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,timestamp
366283615.0,3.0,357756600.0,2235.0,18.0,0.65,14.0837764,100.4199508,10.32,0.5090000033378601,194.7640380859375,0.08400000631809235,0.0,1.0,1668050538.602636
366483677.0,3.0,357756800.0,2235.0,18.0,0.65,14.083775399999999,100.419951,10.31,0.6320000290870667,180.879638671875,0.010000000707805157,0.0,1.0,1668050538.802698
366683524.0,3.0,357757000.0,2235.0,18.0,0.65,14.0837741,100.4199515,10.3,0.812000036239624,166.81593322753906,-0.125,0.0,1.0,1668050539.0025449
366783735.0,3.0,357757100.0,2235.0,18.0,0.65,14.083773299999999,100.4199519,10.31,0.9760000705718994,161.33816528320312,0.010000000707805157,0.0,1.0,1668050539.102756
366963774.0,3.0,357757300.0,2235.0,18.0,0.65,14.083771599999999,100.4199527,10.3,1.1440000534057617,157.84242248535156,0.07800000160932541,0.0,1.0,1668050539.282795
367063716.0,3.0,357757400.0,2235.0,18.0,0.65,14.0837705,100.41995329999999,10.3,1.3900001049041748,154.95010375976562,0.04700000211596489,0.0,1.0,1668050539.382737
367163746.0,3.0,357757500.0,2235.0,18.0,0.65,14.0837693,100.4199539,10.32,1.5040000677108765,153.55271911621094,0.013000000268220901,0.0,1.0,1668050539.482767
367263682.0,3.0,357757600.0,2235.0,18.0,0.65,14.083768099999999,100.41995469999999,10.31,1.5130001306533813,151.4922332763672,0.027000000700354576,0.0,1.0,1668050539.5827029
367383637.0,3.0,357757700.0,2235.0,18.0,0.65,14.0837668,100.41995539999999,10.32,1.718000054359436,153.13238525390625,-0.05700000375509262,0.0,1.0,1668050539.702658
367603479.0,3.0,357757900.0,2235.0,18.0,0.65,14.083763999999999,100.4199569,10.32,1.7310000658035278,155.31417846679688,-0.12600000202655792,0.0,1.0,1668050539.9225
367803644.0,3.0,357758100.0,2235.0,18.0,0.65,14.083761099999998,100.4199582,10.31,1.6740000247955322,158.26585388183594,-0.1210000067949295,0.0,1.0,1668050540.122665
367983743.0,3.0,357758300.0,2235.0,18.0,0.65,14.083758099999999,100.4199591,10.290000000000001,1.7750000953674316,165.27586364746094,-0.08400000631809235,0.0,1.0,1668050540.302764
368183702.0,3.0,357758500.0,2235.0,18.0,0.65,14.083754899999999,100.41995949999999,10.23,1.8910000324249268,174.38279724121094,-0.058000002056360245,0.0,1.0,1668050540.502723
368383779.0,3.0,357758700.0,2235.0,18.0,0.65,14.0837515,100.4199593,10.24,1.8920000791549683,181.12966918945312,-0.09800000488758087,0.0,1.0,1668050540.7028
368583712.0,3.0,357758900.0,2235.0,18.0,0.65,14.083747899999999,100.4199587,10.25,2.120000123977661,188.8800811767578,-0.20800000429153442,0.0,1.0,1668050540.902733
368803727.0,3.0,357759100.0,2235.0,18.0,0.65,14.0837439,100.4199575,10.26,2.4570000171661377,195.73681640625,0.049000002443790436,0.0,1.0,1668050541.122748
368983751.0,3.0,357759300.0,2235.0,18.0,0.65,14.0837393,100.41995569999999,10.27,2.9790000915527344,200.80706787109375,-0.05300000309944153,0.0,1.0,1668050541.302772
