TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv,timestamp
336770859.0,2.0,501.0,17765.0,46034.0,51133.0,48621.0,1668050509.08988
337773507.0,2.0,497.0,17635.0,45915.0,51113.0,48485.0,1668050510.092528
338776814.0,2.0,491.0,17407.0,45820.0,51168.0,48370.0,1668050511.095835
339779267.0,2.0,498.0,17694.0,45875.0,51092.0,48463.0,1668050512.098288
340780866.0,2.0,499.0,17743.0,46001.0,51173.0,48630.0,1668050513.099887
341781066.0,2.0,497.0,17605.0,45842.0,51062.0,48328.0,1668050514.100087
342784715.0,2.0,530.0,18873.0,46311.0,51156.0,48749.0,1668050515.103736
343786249.0,2.0,504.0,17841.0,45703.0,51026.0,48302.0,1668050516.10527
344788781.0,2.0,494.0,17506.0,46215.0,51092.0,48563.0,1668050517.107802
345790853.0,2.0,493.0,17503.0,46317.0,51164.0,48844.0,1668050518.109874
346791013.0,2.0,498.0,17617.0,45962.0,51127.0,48313.0,1668050519.110034
347793594.0,2.0,498.0,17696.0,46223.0,51112.0,48900.0,1668050520.1126149
348796261.0,2.0,493.0,17487.0,46174.0,51117.0,48534.0,1668050521.115282
349798802.0,2.0,501.0,17894.0,45672.0,51169.0,48555.0,1668050522.117823
350800863.0,2.0,501.0,17823.0,46221.0,50965.0,48610.0,1668050523.119884
351803752.0,2.0,499.0,17685.0,45922.0,51140.0,48630.0,1668050524.122773
352806725.0,2.0,507.0,18083.0,45991.0,51088.0,48538.0,1668050525.125746
353808898.0,2.0,496.0,17606.0,46221.0,51162.0,48825.0,1668050526.127919
354809097.0,2.0,502.0,17844.0,46138.0,51161.0,48654.0,1668050527.128118
355810882.0,2.0,498.0,17702.0,46031.0,51168.0,48583.0,1668050528.129903
356811078.0,2.0,500.0,17724.0,46010.0,51132.0,48493.0,1668050529.130099
357813528.0,2.0,499.0,17715.0,46048.0,51077.0,48640.0,1668050530.132549
358816331.0,2.0,494.0,17526.0,45873.0,51129.0,48301.0,1668050531.135352
359818749.0,2.0,495.0,17567.0,45828.0,51145.0,48702.0,1668050532.13777
360820945.0,2.0,495.0,17583.0,46015.0,51134.0,48400.0,1668050533.139966
361823732.0,2.0,496.0,17572.0,46016.0,51175.0,48676.0,1668050534.142753
362826188.0,2.0,495.0,17567.0,46019.0,51137.0,48673.0,1668050535.145209
363828816.0,2.0,495.0,17567.0,45877.0,51166.0,48435.0,1668050536.147837
364830952.0,2.0,498.0,17686.0,46101.0,51143.0,48603.0,1668050537.149973
365833810.0,2.0,501.0,17755.0,45924.0,51133.0,48505.0,1668050538.152831
366836235.0,2.0,501.0,17761.0,46011.0,51135.0,48382.0,1668050539.155256
367838755.0,2.0,501.0,17791.0,46277.0,51145.0,48925.0,1668050540.1577759
368840988.0,2.0,495.0,17563.0,46113.0,51034.0,48471.0,1668050541.160009
369843662.0,2.0,494.0,17524.0,45940.0,51036.0,48557.0,1668050542.162683
370846270.0,2.0,502.0,18022.0,46193.0,51096.0,48677.0,1668050543.165291
371848728.0,2.0,502.0,17742.0,45720.0,51100.0,48381.0,1668050544.167749
372850948.0,2.0,496.0,17582.0,46203.0,51129.0,48577.0,1668050545.169969
373853594.0,2.0,496.0,17582.0,46155.0,51032.0,48813.0,1668050546.172615
374856424.0,2.0,495.0,17553.0,45840.0,50800.0,48203.0,1668050547.175445
375858839.0,2.0,498.0,17670.0,45770.0,51001.0,48564.0,1668050548.17786
376860910.0,2.0,500.0,17706.0,46159.0,51158.0,48716.0,1668050549.179931
377863597.0,2.0,497.0,17601.0,45960.0,51147.0,48481.0,1668050550.182618
378866221.0,2.0,495.0,17533.0,46343.0,51042.0,48708.0,1668050551.185242
379868820.0,2.0,499.0,17675.0,46218.0,51160.0,48767.0,1668050552.187841
380870874.0,2.0,491.0,17407.0,45953.0,51128.0,48415.0,1668050553.189895
381873613.0,2.0,496.0,17580.0,45742.0,51052.0,48437.0,1668050554.192634
382877148.0,2.0,503.0,17924.0,46215.0,51112.0,48713.0,1668050555.196169
383879680.0,2.0,501.0,17824.0,46112.0,50989.0,48557.0,1668050556.198701
384880889.0,2.0,491.0,17407.0,46107.0,51067.0,48681.0,1668050557.19991
385881057.0,2.0,493.0,17487.0,46125.0,51169.0,48552.0,1668050558.200078
386884050.0,2.0,504.0,17810.0,45867.0,51143.0,48473.0,1668050559.2030709
387886915.0,2.0,520.0,18512.0,45798.0,51106.0,48397.0,1668050560.205936
388888910.0,2.0,503.0,17711.0,45886.0,51111.0,48598.0,1668050561.207931
389890862.0,2.0,497.0,17594.0,45925.0,51155.0,48432.0,1668050562.209883
390893767.0,2.0,496.0,17574.0,46145.0,51127.0,48611.0,1668050563.212788
391896591.0,2.0,496.0,17570.0,46007.0,51174.0,48594.0,1668050564.215612
392898903.0,2.0,493.0,17465.0,45780.0,51075.0,48361.0,1668050565.2179239
393901057.0,2.0,494.0,17516.0,45776.0,51119.0,48454.0,1668050566.220078
394903755.0,2.0,494.0,17498.0,45991.0,51081.0,48320.0,1668050567.222776
395906628.0,2.0,502.0,18026.0,46004.0,51177.0,48773.0,1668050568.2256489
396908850.0,2.0,510.0,18340.0,46059.0,51134.0,48503.0,1668050569.227871
397911019.0,2.0,503.0,18055.0,46042.0,51153.0,48628.0,1668050570.23004
398913661.0,2.0,503.0,18055.0,45749.0,51173.0,48611.0,1668050571.232682
399916333.0,2.0,507.0,18213.0,46043.0,51158.0,48556.0,1668050572.235354
400918996.0,2.0,502.0,18026.0,46283.0,51105.0,48568.0,1668050573.238017
401921024.0,2.0,506.0,18160.0,45937.0,51093.0,48383.0,1668050574.240045
402923958.0,2.0,504.0,18106.0,46321.0,51129.0,48922.0,1668050575.242979
403926480.0,2.0,501.0,17975.0,46186.0,51127.0,48681.0,1668050576.245501
404928889.0,2.0,505.0,18185.0,46021.0,51164.0,48546.0,1668050577.24791
405930986.0,2.0,502.0,18022.0,45985.0,51100.0,48462.0,1668050578.250007
406931057.0,2.0,541.0,19195.0,46127.0,51080.0,48534.0,1668050579.250078
407933826.0,2.0,506.0,18116.0,46148.0,51134.0,48675.0,1668050580.252847
