TimeUS,chan,txp,rxp,rxdp,flags,timestamp
502646354.0,1.0,42048.0,486.0,0.0,6.0,1668050674.965375
503648815.0,1.0,42150.0,487.0,0.0,6.0,1668050675.967836
504650844.0,1.0,42251.0,488.0,0.0,6.0,1668050676.969865
505653603.0,1.0,42352.0,489.0,0.0,6.0,1668050677.972624
506656193.0,1.0,42453.0,490.0,0.0,6.0,1668050678.975214
507658699.0,1.0,42554.0,491.0,0.0,6.0,1668050679.97772
508659320.0,1.0,42655.0,492.0,0.0,6.0,1668050680.978341
509660992.0,1.0,42757.0,493.0,0.0,6.0,1668050681.980013
510663812.0,1.0,42859.0,494.0,0.0,6.0,1668050682.982833
511666858.0,1.0,42960.0,495.0,0.0,6.0,1668050683.985879
512669415.0,1.0,43062.0,496.0,0.0,6.0,1668050684.988436
513670889.0,1.0,43163.0,497.0,0.0,6.0,1668050685.98991
514673766.0,1.0,43265.0,498.0,0.0,6.0,1668050686.992787
515676202.0,1.0,43366.0,499.0,0.0,6.0,1668050687.995223
516678861.0,1.0,43467.0,500.0,0.0,6.0,1668050688.997882
517680873.0,1.0,43568.0,501.0,0.0,6.0,1668050689.999894
518683645.0,1.0,43671.0,502.0,0.0,6.0,1668050691.002666
519686389.0,1.0,43772.0,503.0,0.0,6.0,1668050692.00541
520688713.0,1.0,43875.0,504.0,0.0,6.0,1668050693.007734
521689829.0,1.0,43978.0,505.0,0.0,6.0,1668050694.00885
522692133.0,1.0,44079.0,506.0,0.0,6.0,1668050695.011154
523694760.0,1.0,44180.0,507.0,0.0,6.0,1668050696.013781
524696970.0,1.0,44281.0,508.0,0.0,6.0,1668050697.015991
525697011.0,1.0,44383.0,509.0,0.0,6.0,1668050698.016032
526699696.0,1.0,44484.0,510.0,0.0,6.0,1668050699.018717
527702359.0,1.0,44585.0,511.0,0.0,6.0,1668050700.02138
528704780.0,1.0,44686.0,512.0,0.0,6.0,1668050701.023801
529706945.0,1.0,44787.0,513.0,0.0,6.0,1668050702.025966
530709551.0,1.0,44893.0,514.0,0.0,6.0,1668050703.028572
531712245.0,1.0,44995.0,515.0,0.0,6.0,1668050704.031266
532714841.0,1.0,45096.0,516.0,0.0,6.0,1668050705.0338619
533717022.0,1.0,45197.0,517.0,0.0,6.0,1668050706.036043
534719703.0,1.0,45300.0,518.0,0.0,6.0,1668050707.038724
535722103.0,1.0,45401.0,519.0,0.0,6.0,1668050708.041124
739214787.0,1.0,506.0,724.0,0.0,6.0,1668050911.533808
740216917.0,1.0,614.0,725.0,0.0,6.0,1668050912.535938
741217041.0,1.0,715.0,726.0,0.0,6.0,1668050913.536062
742219720.0,1.0,816.0,727.0,0.0,6.0,1668050914.5387409
743222276.0,1.0,917.0,728.0,0.0,6.0,1668050915.541297
744224744.0,1.0,1018.0,729.0,0.0,6.0,1668050916.543765
745226934.0,1.0,1119.0,730.0,0.0,6.0,1668050917.545955
746229740.0,1.0,1221.0,731.0,0.0,6.0,1668050918.548761
747232236.0,1.0,1322.0,732.0,0.0,6.0,1668050919.551257
748234793.0,1.0,1423.0,733.0,0.0,6.0,1668050920.553814
749236928.0,1.0,1524.0,734.0,0.0,6.0,1668050921.555949
750239660.0,1.0,1626.0,735.0,0.0,6.0,1668050922.558681
751242308.0,1.0,1728.0,736.0,0.0,6.0,1668050923.561329
752244853.0,1.0,1829.0,737.0,0.0,6.0,1668050924.563874
753246960.0,1.0,1930.0,738.0,0.0,6.0,1668050925.565981
754249652.0,1.0,2031.0,739.0,0.0,6.0,1668050926.568673
755252388.0,1.0,2132.0,740.0,0.0,6.0,1668050927.571409
756254884.0,1.0,2233.0,741.0,0.0,6.0,1668050928.573905
757256967.0,1.0,2335.0,742.0,0.0,6.0,1668050929.575988
758257004.0,1.0,2436.0,743.0,0.0,6.0,1668050930.576025
759259562.0,1.0,2537.0,744.0,0.0,6.0,1668050931.578583
760262207.0,1.0,2639.0,745.0,0.0,6.0,1668050932.581228
761264850.0,1.0,2740.0,746.0,0.0,6.0,1668050933.583871
762266983.0,1.0,2842.0,747.0,0.0,6.0,1668050934.586004
763267132.0,1.0,2943.0,748.0,0.0,6.0,1668050935.586153
764269642.0,1.0,3046.0,749.0,0.0,6.0,1668050936.588663
765272421.0,1.0,3147.0,750.0,0.0,6.0,1668050937.5914419
766274774.0,1.0,3248.0,751.0,0.0,6.0,1668050938.593795
767276962.0,1.0,3349.0,752.0,0.0,6.0,1668050939.595983
768280003.0,1.0,3451.0,753.0,0.0,6.0,1668050940.599024
769282202.0,1.0,3552.0,754.0,0.0,6.0,1668050941.601223
770284775.0,1.0,3654.0,755.0,0.0,6.0,1668050942.603796
771286992.0,1.0,3755.0,756.0,0.0,6.0,1668050943.606013
772289562.0,1.0,3856.0,757.0,0.0,6.0,1668050944.608583
773292621.0,1.0,3958.0,758.0,0.0,6.0,1668050945.611642
774295255.0,1.0,4059.0,758.0,0.0,6.0,1668050946.614276
775296949.0,1.0,4160.0,760.0,0.0,6.0,1668050947.61597
776297121.0,1.0,4261.0,761.0,0.0,6.0,1668050948.616142
777299637.0,1.0,4362.0,762.0,0.0,6.0,1668050949.618658
778302259.0,1.0,4463.0,763.0,0.0,6.0,1668050950.62128
779304788.0,1.0,4565.0,764.0,0.0,6.0,1668050951.623809
780306891.0,1.0,4667.0,765.0,0.0,6.0,1668050952.625912
781309524.0,1.0,4772.0,766.0,0.0,6.0,1668050953.628545
782312216.0,1.0,4873.0,767.0,0.0,6.0,1668050954.631237
783314758.0,1.0,4974.0,768.0,0.0,6.0,1668050955.633779
784316999.0,1.0,5076.0,769.0,0.0,6.0,1668050956.63602
