TimeUS,TPX,TPY,PX,PY,TVX,TVY,VX,VY,TAX,TAY,AX,AY,timestamp
437587000.0,45.59662628173828,-27.928546905517578,45.5308837890625,-27.91927719116211,-0.6156872510910034,0.3601333498954773,-0.5366519689559937,0.3836051821708679,0.22392989695072174,0.5605509281158447,0.3104444742202759,0.6405245661735535,1668050609.9060209
437686886.0,45.5277099609375,-27.889745712280273,45.46383285522461,-27.873613357543945,-0.6352543234825134,0.39096495509147644,-0.5799301862716675,0.41904354095458984,0.17964346706867218,0.5655893087387085,0.31806233525276184,0.5746456980705261,1668050610.005907
437786813.0,45.45689392089844,-27.8471622467041,45.390350341796875,-27.82539939880371,-0.651931643486023,0.4232600927352905,-0.573742687702179,0.46900683641433716,0.23808687925338745,0.5772069692611694,0.29934585094451904,0.5307573080062866,1668050610.105834
437886871.0,45.38394546508789,-27.800609588623047,45.31766128540039,-27.775062561035156,-0.6721497774124146,0.45836275815963745,-0.5984135270118713,0.49799326062202454,0.22835101187229156,0.5935153365135193,0.32295846939086914,0.5519135594367981,1668050610.205892
437986787.0,45.30918884277344,-27.750307083129883,45.24114990234375,-27.724082946777344,-0.6902226805686951,0.4961240291595459,-0.6477214694023132,0.5115804076194763,0.22224433720111847,0.6198332905769348,0.3302438259124756,0.5601597428321838,1668050610.305808
438086846.0,45.232322692871094,-27.696134567260742,45.1628303527832,-27.66936683654785,-0.7084981203079224,0.5323383808135986,-0.6475958228111267,0.5657030940055847,0.2318238765001297,0.5273510813713074,0.32488813996315,0.5841382741928101,1668050610.405867
438187213.0,45.15353012084961,-27.638498306274414,45.08202362060547,-27.611541748046875,-0.7258238196372986,0.5644242763519287,-0.6775521636009216,0.5842334032058716,0.2584276795387268,0.48067447543144226,0.357009619474411,0.6093025207519531,1668050610.506234
438286822.0,45.07289123535156,-27.57801628112793,44.99916076660156,-27.550418853759766,-0.7414864897727966,0.5894306302070618,-0.7129584550857544,0.5974947214126587,0.2671250104904175,0.41860243678092957,0.37822526693344116,0.5645033717155457,1668050610.605843
438386792.0,44.990516662597656,-27.515287399291992,44.912864685058594,-27.485448837280273,-0.7542093396186829,0.6065925359725952,-0.7259615659713745,0.6317561268806458,0.3086736798286438,0.3344966173171997,0.3586929738521576,0.4958944320678711,1668050610.705813
438487027.0,44.9063606262207,-27.450729370117188,44.82699203491211,-27.41929817199707,-0.76783686876297,0.6195400953292847,-0.7187085747718811,0.6607487201690674,0.30281513929367065,0.29192569851875305,0.38419967889785767,0.43237680196762085,1668050610.806048
