TimeUS,Name,Value,timestamp
220917470,COMPASS_DEV_ID2,658945.0,1668050393.236491
220917488,COMPASS_DEV_ID3,0.0,1668050393.236509
220917508,COMPASS_USE2,0.0,1668050393.2365289
220917529,COMPASS_ORIENT2,0.0,1668050393.23655
220917592,COMPASS_EXTERN2,0.0,1668050393.236613
220917614,COMPASS_USE3,0.0,1668050393.236635
220917635,COMPASS_ORIENT3,0.0,1668050393.236656
220917656,COMPASS_EXTERN3,0.0,1668050393.236677
220917679,COMPASS_DIA_X,1.0,1668050393.2367
220917706,COMPASS_DIA_Y,1.0,1668050393.236727
220917781,COMPASS_DIA_Z,1.0,1668050393.236802
220917805,COMPASS_ODI_X,0.0,1668050393.236826
220917825,COMPASS_ODI_Y,0.0,1668050393.236846
220917845,COMPASS_ODI_Z,0.0,1668050393.236866
220917905,COMPASS_DIA2_X,1.0,1668050393.236926
220917989,COMPASS_DIA2_Y,1.0,1668050393.23701
220918049,COMPASS_DIA2_Z,1.0,1668050393.23707
220918083,COMPASS_ODI2_X,0.0,1668050393.237104
220918103,COMPASS_ODI2_Y,0.0,1668050393.237124
220918123,COMPASS_ODI2_Z,0.0,1668050393.237144
220918227,COMPASS_DIA3_X,0.0,1668050393.237248
220918249,COMPASS_DIA3_Y,0.0,1668050393.2372699
220918270,COMPASS_DIA3_Z,0.0,1668050393.237291
220918294,COMPASS_ODI3_X,0.0,1668050393.237315
220918380,COMPASS_ODI3_Y,0.0,1668050393.237401
220918402,COMPASS_ODI3_Z,0.0,1668050393.237423
220918422,COMPASS_CAL_FIT,16.0,1668050393.237443
220918442,COMPASS_OFFS_MAX,1800.0,1668050393.237463
220918642,COMPASS_PMOT_EN,0.0,1668050393.237663
220918670,COMPASS_TYPEMASK,0.0,1668050393.237691
220918697,COMPASS_FLTR_RNG,0.0,1668050393.237718
220918733,COMPASS_AUTO_ROT,2.0,1668050393.2377539
220918813,COMPASS_PRIO1_ID,658953.0,1668050393.237834
220918837,COMPASS_PRIO2_ID,658945.0,1668050393.237858
220918861,COMPASS_PRIO3_ID,0.0,1668050393.237882
220918927,COMPASS_ENABLE,1.0,1668050393.237948
220919049,COMPASS_SCALE,0.0,1668050393.23807
220919076,COMPASS_SCALE2,0.0,1668050393.238097
220919101,COMPASS_SCALE3,0.0,1668050393.238122
220919126,COMPASS_OPTIONS,0.0,1668050393.238147
220919193,COMPASS_DEV_ID4,0.0,1668050393.238214
220919258,COMPASS_DEV_ID5,0.0,1668050393.238279
220919285,COMPASS_DEV_ID6,0.0,1668050393.238306
220919310,COMPASS_DEV_ID7,0.0,1668050393.238331
220919405,COMPASS_DEV_ID8,0.0,1668050393.238426
220919428,INS_GYROFFS_X,0.01841055601835251,1668050393.238449
220919443,INS_GYROFFS_Y,-0.019330233335494995,1668050393.2384639
220919459,INS_GYROFFS_Z,0.0004658893449231982,1668050393.23848
220919475,INS_GYR2OFFS_X,-0.014415856450796127,1668050393.238496
220919490,INS_GYR2OFFS_Y,0.017211930826306343,1668050393.238511
220919506,INS_GYR2OFFS_Z,0.004104604944586754,1668050393.238527
220919522,INS_GYR3OFFS_X,0.00021704744722228497,1668050393.238543
220919538,INS_GYR3OFFS_Y,0.0019298719707876444,1668050393.238559
220919597,INS_GYR3OFFS_Z,0.0008543756557628512,1668050393.238618
220919614,INS_ACCSCAL_X,0.9986827373504639,1668050393.238635
220919630,INS_ACCSCAL_Y,1.0000630617141724,1668050393.238651
220919646,INS_ACCSCAL_Z,0.995365560054779,1668050393.238667
220919663,INS_ACCOFFS_X,0.03488382324576378,1668050393.238684
220919679,INS_ACCOFFS_Y,0.08739486336708069,1668050393.2387
220919695,INS_ACCOFFS_Z,-0.16211287677288055,1668050393.238716
220919775,INS_ACC2SCAL_X,0.9233010411262512,1668050393.238796
220919793,INS_ACC2SCAL_Y,1.0008931159973145,1668050393.2388139
220919809,INS_ACC2SCAL_Z,1.0036075115203857,1668050393.23883
220919827,INS_ACC2OFFS_X,0.15591420233249664,1668050393.238848
220919844,INS_ACC2OFFS_Y,-0.10617466270923615,1668050393.238865
220919860,INS_ACC2OFFS_Z,0.1399073451757431,1668050393.2388809
220919971,INS_ACC3SCAL_X,0.9943974018096924,1668050393.238992
220920029,INS_ACC3SCAL_Y,0.985271692276001,1668050393.23905
220920049,INS_ACC3SCAL_Z,0.9846437573432922,1668050393.23907
220920067,INS_ACC3OFFS_X,0.47710278630256653,1668050393.239088
220920084,INS_ACC3OFFS_Y,0.048661284148693085,1668050393.239105
220920101,INS_ACC3OFFS_Z,0.30724620819091797,1668050393.239122
