TimeUS,Active,NumPts,MaxPts,Action,N,E,D,timestamp
797580290.0,1.0,30.0,300.0,0.0,0.15956448018550873,-49.54911804199219,-9.205032348632812,1668050969.899311
798576941.0,1.0,31.0,300.0,0.0,-2.0584163665771484,-50.10329055786133,-9.200311660766602,1668050970.895962
800239704.0,1.0,32.0,300.0,0.0,-3.8532676696777344,-51.60861587524414,-9.185609817504883,1668050972.5587249
801902399.0,1.0,33.0,300.0,0.0,-3.914759397506714,-53.88517379760742,-9.18899917602539,1668050974.22142
809216985.0,1.0,34.0,300.0,0.0,-2.9616026878356934,-55.65446853637695,-9.148231506347656,1668050981.536006
810546891.0,1.0,35.0,300.0,0.0,-3.7696573734283447,-57.99355697631836,-9.143716812133789,1668050982.865912
811544782.0,1.0,36.0,300.0,0.0,-4.8892974853515625,-59.760536193847656,-9.149545669555664,1668050983.863803
812874798.0,1.0,37.0,300.0,0.0,-6.294546127319336,-61.48506546020508,-9.16867446899414,1668050985.193819
814536965.0,1.0,38.0,300.0,0.0,-6.008524417877197,-63.807273864746094,-9.195733070373535,1668050986.8559859
817196934.0,1.0,38.0,300.0,3.0,-4.663111209869385,-63.105628967285156,-9.202311515808105,1668050989.515955
817862114.0,1.0,39.0,300.0,0.0,-4.368497371673584,-61.899173736572266,-9.232714653015137,1668050990.181135
819192183.0,1.0,40.0,300.0,0.0,-3.8842337131500244,-59.824649810791016,-9.148787498474121,1668050991.511204
821186993.0,1.0,41.0,300.0,0.0,-1.9298263788223267,-58.71095657348633,-9.196426391601562,1668050993.5060139
824512072.0,1.0,42.0,300.0,0.0,0.1443735510110855,-59.17853546142578,-9.201044082641602,1668050996.831093
827172594.0,1.0,43.0,300.0,0.0,0.7585861682891846,-61.135257720947266,-9.120049476623535,1668050999.491615
830082252.0,1.0,44.0,300.0,0.0,-1.1060532331466675,-62.45260238647461,-9.636824607849121,1668051002.401273
833075141.0,1.0,45.0,300.0,0.0,0.1092120036482811,-64.21833038330078,-9.665521621704102,1668051005.394162
834736899.0,1.0,46.0,300.0,0.0,2.077547073364258,-65.59412384033203,-9.698383331298828,1668051007.05592
838727035.0,1.0,47.0,300.0,0.0,0.2715401351451874,-67.09820556640625,-9.642312049865723,1668051011.046056
839724870.0,1.0,48.0,300.0,0.0,-1.7513492107391357,-66.67802429199219,-9.616063117980957,1668051012.043891
840722143.0,1.0,49.0,300.0,0.0,-4.332557678222656,-65.92678833007812,-9.605653762817383,1668051013.041164
841387105.0,1.0,50.0,300.0,0.0,-6.348979473114014,-65.29141235351562,-9.607072830200195,1668051013.706126
841398462.0,1.0,50.0,300.0,2.0,-2.433354616165161,-2.1361794471740723,-3.272815227508545,1668051013.717483
841398471.0,1.0,50.0,300.0,2.0,-2.7974164485931396,-3.913576126098633,-4.2448954582214355,1668051013.717492
841398478.0,1.0,50.0,300.0,2.0,-3.1667025089263916,-8.905444145202637,-5.958189964294434,1668051013.717499
841398485.0,1.0,50.0,300.0,2.0,-3.215064287185669,-10.921061515808105,-6.363104343414307,1668051013.717506
841398492.0,1.0,50.0,300.0,2.0,-3.3345296382904053,-12.900396347045898,-6.794066905975342,1668051013.717513
841398499.0,1.0,50.0,300.0,2.0,-3.3669509887695312,-14.857369422912598,-7.222501277923584,1668051013.71752
841398506.0,1.0,50.0,300.0,2.0,-3.4268693923950195,-17.765840530395508,-7.815543174743652,1668051013.717527
841398513.0,1.0,50.0,300.0,2.0,-3.467625617980957,-20.596948623657227,-8.35782527923584,1668051013.717534
841398603.0,1.0,50.0,300.0,2.0,-3.4715898036956787,-23.26492691040039,-8.853232383728027,1668051013.717624
