TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config,timestamp
481303751.0,0.0,99.0,17.0,1.0,936.0,0.0,1668050653.622772
486303633.0,0.0,99.0,17.0,1.0,936.0,0.0,1668050658.622654
491303653.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050663.622674
496303580.0,0.0,99.0,15.0,1.0,936.0,0.0,1668050668.622601
501303598.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050673.622619
506303676.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050678.6226969
511303711.0,0.0,99.0,15.0,1.0,936.0,0.0,1668050683.622732
516303587.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050688.622608
521303550.0,0.0,99.0,15.0,1.0,936.0,0.0,1668050693.622571
526299645.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050698.618666
531299696.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050703.618717
536299764.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050708.618785
741299666.0,0.0,97.0,16.0,1.0,936.0,0.0,1668050913.618687
746299636.0,0.0,97.0,16.0,1.0,936.0,0.0,1668050918.6186569
751299813.0,0.0,97.0,15.0,1.0,936.0,0.0,1668050923.618834
756299697.0,0.0,97.0,15.0,1.0,936.0,0.0,1668050928.618718
761299687.0,0.0,97.0,15.0,1.0,936.0,0.0,1668050933.618708
766299561.0,0.0,97.0,15.0,1.0,936.0,0.0,1668050938.618582
771299811.0,0.0,97.0,15.0,1.0,936.0,0.0,1668050943.6188319
776299709.0,0.0,97.0,16.0,1.0,936.0,0.0,1668050948.61873
781299677.0,0.0,97.0,16.0,1.0,936.0,0.0,1668050953.618698
786299659.0,0.0,97.0,15.0,1.0,936.0,0.0,1668050958.61868
791299656.0,0.0,96.0,15.0,1.0,936.0,0.0,1668050963.618677
796299721.0,0.0,97.0,15.0,1.0,936.0,0.0,1668050968.618742
801299687.0,0.0,97.0,16.0,1.0,936.0,0.0,1668050973.618708
806299735.0,0.0,96.0,16.0,1.0,936.0,0.0,1668050978.618756
811299566.0,0.0,96.0,16.0,1.0,936.0,0.0,1668050983.618587
816299637.0,0.0,96.0,16.0,1.0,936.0,0.0,1668050988.618658
821299670.0,0.0,96.0,15.0,1.0,936.0,0.0,1668050993.618691
826299687.0,0.0,96.0,15.0,1.0,936.0,0.0,1668050998.618708
831299735.0,0.0,96.0,16.0,1.0,936.0,0.0,1668051003.618756
836299525.0,0.0,96.0,15.0,1.0,936.0,0.0,1668051008.618546
841299728.0,0.0,118.0,6.0,1.0,936.0,0.0,1668051013.618749
846299713.0,0.0,118.0,8.0,1.0,936.0,0.0,1668051018.618734
851299715.0,0.0,97.0,15.0,1.0,936.0,0.0,1668051023.618736
856299673.0,0.0,97.0,16.0,1.0,936.0,0.0,1668051028.618694
861299697.0,0.0,97.0,16.0,1.0,936.0,0.0,1668051033.618718
866299667.0,0.0,97.0,15.0,1.0,936.0,0.0,1668051038.6186879
871299651.0,0.0,97.0,15.0,1.0,936.0,0.0,1668051043.618672
876299644.0,0.0,111.0,8.0,1.0,936.0,0.0,1668051048.618665
881299679.0,0.0,110.0,10.0,1.0,936.0,0.0,1668051053.6187
886299686.0,0.0,85.0,4.0,1.0,936.0,0.0,1668051058.618707
891299673.0,0.0,85.0,15.0,1.0,936.0,0.0,1668051063.618694
896299710.0,0.0,91.0,15.0,1.0,936.0,0.0,1668051068.618731
901299567.0,0.0,91.0,15.0,1.0,936.0,0.0,1668051073.618588
906299738.0,0.0,91.0,17.0,1.0,936.0,0.0,1668051078.618759
911299654.0,0.0,92.0,15.0,1.0,936.0,0.0,1668051083.618675
916299671.0,0.0,92.0,15.0,1.0,936.0,0.0,1668051088.618692
921299585.0,0.0,92.0,15.0,1.0,936.0,0.0,1668051093.618606
926299570.0,0.0,92.0,16.0,1.0,936.0,0.0,1668051098.618591
931299654.0,0.0,92.0,15.0,1.0,936.0,0.0,1668051103.618675
936299700.0,0.0,93.0,15.0,1.0,936.0,0.0,1668051108.618721
941299513.0,0.0,93.0,15.0,1.0,936.0,0.0,1668051113.618534
946299466.0,0.0,93.0,15.0,1.0,936.0,0.0,1668051118.618487
951291340.0,0.0,93.0,15.0,1.0,936.0,0.0,1668051123.610361
956291345.0,0.0,93.0,15.0,1.0,936.0,0.0,1668051128.6103659
961291370.0,0.0,93.0,14.0,1.0,1248.0,0.0,1668051133.610391
971291364.0,0.0,100.0,16.0,1.0,1248.0,0.0,1668051143.610385
976291434.0,0.0,100.0,17.0,1.0,1248.0,0.0,1668051148.610455
981291493.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051153.610514
986291495.0,0.0,101.0,16.0,1.0,1248.0,0.0,1668051158.610516
991291513.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051163.610534
996291468.0,0.0,101.0,16.0,1.0,1248.0,0.0,1668051168.610489
1001291578.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051173.610599
1006291497.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051178.610518
1011291559.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051183.61058
1016291443.0,0.0,101.0,16.0,1.0,1248.0,0.0,1668051188.610464
1021291466.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051193.610487
1026291673.0,0.0,101.0,15.0,1.0,1248.0,0.0,1668051198.610694
1031291708.0,0.0,101.0,14.0,1.0,1248.0,0.0,1668051203.610729
1036291591.0,0.0,101.0,16.0,1.0,1248.0,0.0,1668051208.610612
