TimeUS,SetP,NxtP,TotP,SPD,CLat,CLng,CAlt,Opt1,timestamp
496889415.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050669.208436
497889281.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050670.208302
498889290.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050671.208311
499889917.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050672.208938
500726504.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050673.045525
501726647.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050674.045668
502726568.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050675.045589
503726610.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050676.045631
504726940.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050677.045961
505726665.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050678.045686
506726586.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050679.045607
507726442.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050680.045463
508726660.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050681.045681
509726608.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050682.045629
510726537.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050683.045558
511726580.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050684.045601
512726600.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050685.045621
513726654.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050686.045675
514726676.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050687.045697
515726719.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050688.04574
516726483.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050689.045504
517726572.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050690.045593
518726730.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050691.045751
519726619.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050692.04564
520726539.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050693.04556
521742844.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050694.061865
522742708.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050695.061729
523742810.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050696.061831
524742696.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050697.061717
525742712.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050698.061733
526742697.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050699.061718
527742828.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050700.0618489
528742805.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050701.061826
529742688.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050702.061709
530742784.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050703.061805
531742690.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050704.061711
532742889.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050705.06191
533742843.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050706.061864
534742809.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050707.06183
535742669.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050708.06169
739582856.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050911.901877
740582886.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050912.901907
741582874.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050913.901895
742582910.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050914.901931
743583023.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050915.902044
744582939.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050916.90196
745582791.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050917.901812
746582813.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050918.901834
747582923.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050919.901944
