TimeUS,SpyTT,SpyCR,SpyTR,PmpPos,PowF,PowR,AREA,Out,OutFlw,timestamp
317046721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050489.365742
318046866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050490.365887
319046746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050491.365767
320046722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050492.365743
321046790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050493.3658109
322046765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050494.365786
323046823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050495.365844
324046765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050496.365786
325046929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050497.3659499
326046764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050498.365785
327046889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050499.36591
328046804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050500.365825
329046829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050501.36585
330046823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050502.365844
331046850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050503.365871
332046780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050504.365801
333046808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050505.365829
334046797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050506.365818
335046782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050507.365803
336046880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050508.365901
336884773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050509.203794
337884812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050510.203833
338884763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050511.203784
339884743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050512.203764
340884819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050513.20384
341884703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050514.203724
342884823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050515.203844
343884819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050516.20384
