TimeUS,Instance,Dist,Stat,Orient,timestamp
228620515.0,0.0,4.26,1.0,0.0,1668050400.939536
228620597.0,1.0,0.22,4.0,25.0,1668050400.9396179
228671027.0,0.0,4.26,1.0,0.0,1668050400.990048
228671052.0,1.0,0.22,4.0,25.0,1668050400.990073
228720487.0,0.0,4.26,1.0,0.0,1668050401.039508
228720532.0,1.0,0.22,4.0,25.0,1668050401.039553
228770873.0,0.0,4.26,1.0,0.0,1668050401.089894
228770882.0,1.0,0.22,4.0,25.0,1668050401.0899029
228820645.0,0.0,4.26,1.0,0.0,1668050401.139666
228820655.0,1.0,0.22,4.0,25.0,1668050401.139676
228870705.0,0.0,4.26,1.0,0.0,1668050401.1897259
228870713.0,1.0,0.22,4.0,25.0,1668050401.189734
228920509.0,0.0,4.26,1.0,0.0,1668050401.23953
228920538.0,1.0,0.22,4.0,25.0,1668050401.239559
228970968.0,0.0,4.26,1.0,0.0,1668050401.289989
228970976.0,1.0,0.22,4.0,25.0,1668050401.289997
229020483.0,0.0,4.26,1.0,0.0,1668050401.339504
229020493.0,1.0,0.22,4.0,25.0,1668050401.339514
229071027.0,0.0,4.26,1.0,0.0,1668050401.390048
229071084.0,1.0,0.22,4.0,25.0,1668050401.390105
229120471.0,0.0,4.26,1.0,0.0,1668050401.439492
229120481.0,1.0,0.25,4.0,25.0,1668050401.439502
229171135.0,0.0,4.26,1.0,0.0,1668050401.490156
229171143.0,1.0,0.25,4.0,25.0,1668050401.490164
229220378.0,0.0,4.26,1.0,0.0,1668050401.539399
229220388.0,1.0,0.25,4.0,25.0,1668050401.539409
229270919.0,0.0,4.26,1.0,0.0,1668050401.58994
229270928.0,1.0,0.25,4.0,25.0,1668050401.589949
229320594.0,0.0,4.26,1.0,0.0,1668050401.639615
229320604.0,1.0,0.25,4.0,25.0,1668050401.639625
229370912.0,0.0,4.26,1.0,0.0,1668050401.689933
229370921.0,1.0,0.22,4.0,25.0,1668050401.689942
229420514.0,0.0,4.26,1.0,0.0,1668050401.739535
229420547.0,1.0,0.22,4.0,25.0,1668050401.739568
229470599.0,0.0,4.26,1.0,0.0,1668050401.78962
229470608.0,1.0,0.22,4.0,25.0,1668050401.789629
229520487.0,0.0,4.26,1.0,0.0,1668050401.839508
229520498.0,1.0,0.2,4.0,25.0,1668050401.839519
229570935.0,0.0,4.26,1.0,0.0,1668050401.889956
229570946.0,1.0,0.2,4.0,25.0,1668050401.889967
229620541.0,0.0,4.26,1.0,0.0,1668050401.939562
229620596.0,1.0,0.17,4.0,25.0,1668050401.939617
229671103.0,0.0,4.26,1.0,0.0,1668050401.990124
229671112.0,1.0,0.17,4.0,25.0,1668050401.990133
229720523.0,0.0,4.26,1.0,0.0,1668050402.039544
229720597.0,1.0,0.17,4.0,25.0,1668050402.039618
229770820.0,0.0,4.26,1.0,0.0,1668050402.089841
229770885.0,1.0,0.2,4.0,25.0,1668050402.089906
229820420.0,0.0,4.26,1.0,0.0,1668050402.139441
229820430.0,1.0,0.2,4.0,25.0,1668050402.139451
229870751.0,0.0,4.26,1.0,0.0,1668050402.189772
229870760.0,1.0,0.2,4.0,25.0,1668050402.189781
229920410.0,0.0,4.26,1.0,0.0,1668050402.239431
229920420.0,1.0,0.22,4.0,25.0,1668050402.239441
229970925.0,0.0,4.26,1.0,0.0,1668050402.289946
229970934.0,1.0,0.25,4.0,25.0,1668050402.289955
230020470.0,0.0,4.26,1.0,0.0,1668050402.339491
230020481.0,1.0,0.25,4.0,25.0,1668050402.339502
230070968.0,0.0,4.26,1.0,0.0,1668050402.389989
230070977.0,1.0,0.25,4.0,25.0,1668050402.389998
233071040.0,0.0,4.26,1.0,0.0,1668050405.390061
233071049.0,1.0,0.27,4.0,25.0,1668050405.39007
233134052.0,0.0,4.26,1.0,0.0,1668050405.453073
233134122.0,1.0,0.27,4.0,25.0,1668050405.453143
233184018.0,0.0,4.26,1.0,0.0,1668050405.503039
233184027.0,1.0,0.27,4.0,25.0,1668050405.503048
233233826.0,0.0,4.26,1.0,0.0,1668050405.552847
233233836.0,1.0,0.27,4.0,25.0,1668050405.552857
233284209.0,0.0,4.26,1.0,0.0,1668050405.60323
233284218.0,1.0,0.27,4.0,25.0,1668050405.603239
233333948.0,0.0,4.26,1.0,0.0,1668050405.652969
233334004.0,1.0,0.27,4.0,25.0,1668050405.653025
233384350.0,0.0,4.26,1.0,0.0,1668050405.703371
233384359.0,1.0,0.3,4.0,25.0,1668050405.7033799
233433924.0,0.0,4.26,1.0,0.0,1668050405.752945
233433934.0,1.0,0.27,4.0,25.0,1668050405.752955
233484146.0,0.0,4.26,1.0,0.0,1668050405.803167
233484154.0,1.0,0.25,4.0,25.0,1668050405.803175
233533931.0,0.0,4.26,1.0,0.0,1668050405.852952
233533941.0,1.0,0.25,4.0,25.0,1668050405.852962
233584204.0,0.0,4.25,2.0,0.0,1668050405.903225
233584213.0,1.0,0.22,4.0,25.0,1668050405.903234
233633902.0,0.0,4.25,2.0,0.0,1668050405.952923
233633912.0,1.0,0.22,4.0,25.0,1668050405.952933
233684394.0,0.0,4.25,2.0,0.0,1668050406.0034149
233684403.0,1.0,0.22,4.0,25.0,1668050406.003424
233734144.0,0.0,4.25,2.0,0.0,1668050406.053165
233734154.0,1.0,0.22,4.0,25.0,1668050406.053175
233783988.0,0.0,4.25,2.0,0.0,1668050406.103009
233783997.0,1.0,0.22,4.0,25.0,1668050406.103018
233833934.0,0.0,4.25,2.0,0.0,1668050406.152955
233834014.0,1.0,0.22,4.0,25.0,1668050406.153035
233884008.0,0.0,4.25,2.0,0.0,1668050406.203029
233884016.0,1.0,0.22,4.0,25.0,1668050406.203037
233933885.0,0.0,4.25,1.0,0.0,1668050406.252906
233933895.0,1.0,0.22,4.0,25.0,1668050406.252916
233984301.0,0.0,4.25,1.0,0.0,1668050406.303322
233984310.0,1.0,0.22,4.0,25.0,1668050406.303331
234033947.0,0.0,4.25,1.0,0.0,1668050406.352968
234033957.0,1.0,0.22,4.0,25.0,1668050406.352978
234084250.0,0.0,4.25,1.0,0.0,1668050406.403271
234084259.0,1.0,0.22,4.0,25.0,1668050406.40328
234133907.0,0.0,4.25,1.0,0.0,1668050406.452928
234133917.0,1.0,0.22,4.0,25.0,1668050406.452938
234184325.0,0.0,4.25,1.0,0.0,1668050406.503346
234184334.0,1.0,0.22,4.0,25.0,1668050406.503355
234233866.0,0.0,4.25,1.0,0.0,1668050406.552887
234233876.0,1.0,0.22,4.0,25.0,1668050406.552897
234284184.0,0.0,4.25,1.0,0.0,1668050406.603205
234284193.0,1.0,0.22,4.0,25.0,1668050406.603214
234333872.0,0.0,4.25,1.0,0.0,1668050406.652893
234333882.0,1.0,0.22,4.0,25.0,1668050406.652903
234384117.0,0.0,4.25,1.0,0.0,1668050406.7031379
234384125.0,1.0,0.22,4.0,25.0,1668050406.703146
234433925.0,0.0,4.25,1.0,0.0,1668050406.752946
234433935.0,1.0,0.22,4.0,25.0,1668050406.752956
234484123.0,0.0,4.25,1.0,0.0,1668050406.803144
234484131.0,1.0,0.22,4.0,25.0,1668050406.803152
234533909.0,0.0,4.25,1.0,0.0,1668050406.85293
234533919.0,1.0,0.22,4.0,25.0,1668050406.85294
234584318.0,0.0,4.25,1.0,0.0,1668050406.903339
234584326.0,1.0,0.22,4.0,25.0,1668050406.903347
234634011.0,0.0,4.25,1.0,0.0,1668050406.953032
