TimeUS,AThrs,WThrs,MaxP,MotM,IsA,IsW,Cnt,timestamp
460989193.0,1828.0,1787.0,1456.7364501953125,3.0,0.0,0.0,0.0,1668050633.308214
461089233.0,1828.0,1787.0,1456.760009765625,3.0,0.0,0.0,0.0,1668050633.408254
461189588.0,1828.0,1787.0,1456.767333984375,3.0,0.0,0.0,0.0,1668050633.508609
461289336.0,1828.0,1787.0,1456.8671875,3.0,0.0,0.0,0.0,1668050633.608357
461389195.0,1828.0,1787.0,1457.0567626953125,3.0,0.0,0.0,0.0,1668050633.708216
461489659.0,1828.0,1787.0,1457.2713623046875,3.0,0.0,0.0,0.0,1668050633.80868
461589091.0,1828.0,1787.0,1457.5411376953125,3.0,0.0,0.0,0.0,1668050633.908112
461689373.0,1828.0,1787.0,1457.8953857421875,3.0,0.0,0.0,0.0,1668050634.008394
461789173.0,1828.0,1787.0,1458.2232666015625,3.0,0.0,0.0,0.0,1668050634.1081939
461889229.0,1828.0,1787.0,1458.510009765625,3.0,0.0,0.0,0.0,1668050634.20825
461989197.0,1828.0,1787.0,1458.8033447265625,3.0,0.0,0.0,0.0,1668050634.308218
462089397.0,1828.0,1787.0,1459.041259765625,3.0,0.0,0.0,0.0,1668050634.408418
462189337.0,1828.0,1787.0,1459.2718505859375,3.0,0.0,0.0,0.0,1668050634.508358
462289238.0,1828.0,1787.0,1459.5107421875,3.0,0.0,0.0,0.0,1668050634.608259
462389158.0,1828.0,1787.0,1459.7266845703125,3.0,0.0,0.0,0.0,1668050634.708179
462489574.0,1828.0,1787.0,1459.93603515625,3.0,0.0,0.0,0.0,1668050634.808595
462589227.0,1828.0,1787.0,1460.0924072265625,3.0,0.0,0.0,0.0,1668050634.908248
462689224.0,1828.0,1787.0,1460.1976318359375,3.0,0.0,0.0,0.0,1668050635.008245
462789129.0,1828.0,1787.0,1460.3150634765625,3.0,0.0,0.0,0.0,1668050635.10815
462889227.0,1828.0,1787.0,1460.4598388671875,3.0,0.0,0.0,0.0,1668050635.208248
462989388.0,1828.0,1787.0,1460.584716796875,3.0,0.0,0.0,0.0,1668050635.308409
463089261.0,1828.0,1787.0,1460.6746826171875,3.0,0.0,0.0,0.0,1668050635.408282
463189180.0,1828.0,1787.0,1460.7618408203125,3.0,0.0,0.0,0.0,1668050635.508201
463289359.0,1828.0,1787.0,1460.8773193359375,3.0,0.0,0.0,0.0,1668050635.60838
463389257.0,1828.0,1787.0,1460.9273681640625,3.0,0.0,0.0,0.0,1668050635.708278
463489563.0,1828.0,1787.0,1460.9603271484375,3.0,0.0,0.0,0.0,1668050635.808584
463589253.0,1828.0,1787.0,1461.023193359375,3.0,0.0,0.0,0.0,1668050635.908274
463689295.0,1828.0,1787.0,1461.130615234375,3.0,0.0,0.0,0.0,1668050636.008316
463789229.0,1828.0,1787.0,1461.234619140625,3.0,0.0,0.0,0.0,1668050636.10825
463889491.0,1828.0,1787.0,1461.2581787109375,3.0,0.0,0.0,0.0,1668050636.208512
463989173.0,1828.0,1787.0,1461.2965087890625,3.0,0.0,0.0,0.0,1668050636.308194
464089232.0,1828.0,1787.0,1461.3026123046875,3.0,0.0,0.0,0.0,1668050636.408253
464189340.0,1828.0,1787.0,1461.277587890625,3.0,0.0,0.0,0.0,1668050636.508361
464289237.0,1828.0,1787.0,1461.2843017578125,3.0,0.0,0.0,0.0,1668050636.608258
464389367.0,1828.0,1787.0,1461.2908935546875,3.0,0.0,0.0,0.0,1668050636.708388
464489514.0,1828.0,1787.0,1461.2508544921875,3.0,0.0,0.0,0.0,1668050636.808535
464589302.0,1828.0,1787.0,1461.134765625,3.0,0.0,0.0,0.0,1668050636.908323
464689226.0,1828.0,1787.0,1461.0068359375,3.0,0.0,0.0,0.0,1668050637.008247
464789256.0,1828.0,1787.0,1460.92919921875,3.0,0.0,0.0,0.0,1668050637.108277
464889312.0,1828.0,1787.0,1460.8848876953125,3.0,0.0,0.0,0.0,1668050637.208333
464989136.0,1828.0,1787.0,1460.8572998046875,3.0,0.0,0.0,0.0,1668050637.308157
465089420.0,1828.0,1787.0,1460.7532958984375,3.0,0.0,0.0,0.0,1668050637.408441
465189240.0,1828.0,1787.0,1460.62158203125,3.0,0.0,0.0,0.0,1668050637.508261
465289247.0,1828.0,1787.0,1460.5557861328125,3.0,0.0,0.0,0.0,1668050637.608268
465389267.0,1828.0,1787.0,1460.4920654296875,3.0,0.0,0.0,0.0,1668050637.708288
465489376.0,1828.0,1787.0,1460.306640625,3.0,0.0,0.0,0.0,1668050637.808397
465589190.0,1828.0,1787.0,1460.049560546875,3.0,0.0,0.0,0.0,1668050637.908211
465689259.0,1828.0,1787.0,1459.8623046875,3.0,0.0,0.0,0.0,1668050638.00828
465789193.0,1828.0,1787.0,1459.74267578125,3.0,0.0,0.0,0.0,1668050638.108214
465889318.0,1828.0,1787.0,1459.673095703125,3.0,0.0,0.0,0.0,1668050638.208339
465988990.0,1828.0,1787.0,1459.652099609375,3.0,0.0,0.0,0.0,1668050638.308011
466089261.0,1828.0,1787.0,1459.7554931640625,3.0,0.0,0.0,0.0,1668050638.408282
466189242.0,1828.0,1787.0,1459.9793701171875,3.0,0.0,0.0,0.0,1668050638.5082629
466289330.0,1828.0,1787.0,1460.227294921875,3.0,0.0,0.0,0.0,1668050638.608351
466389217.0,1828.0,1787.0,1460.513916015625,3.0,0.0,0.0,0.0,1668050638.708238
466489411.0,1828.0,1787.0,1460.7762451171875,3.0,0.0,0.0,0.0,1668050638.808432
466589397.0,1828.0,1787.0,1460.9840087890625,3.0,0.0,0.0,0.0,1668050638.908418
466689209.0,1828.0,1787.0,1461.340087890625,3.0,0.0,0.0,0.0,1668050639.00823
466789198.0,1828.0,1787.0,1461.8861083984375,3.0,0.0,0.0,0.0,1668050639.108219
466889235.0,1828.0,1787.0,1462.461669921875,3.0,0.0,0.0,0.0,1668050639.208256
466989191.0,1828.0,1787.0,1462.95751953125,3.0,0.0,0.0,0.0,1668050639.308212
467089243.0,1828.0,1787.0,1463.190673828125,3.0,0.0,0.0,0.0,1668050639.408264
467189386.0,1828.0,1787.0,1463.3392333984375,3.0,0.0,0.0,0.0,1668050639.5084069
467289267.0,1828.0,1787.0,1463.777099609375,3.0,0.0,0.0,0.0,1668050639.608288
467389210.0,1828.0,1787.0,1464.247802734375,3.0,0.0,0.0,0.0,1668050639.708231
467489763.0,1828.0,1787.0,1464.6575927734375,3.0,0.0,0.0,0.0,1668050639.808784
467589294.0,1828.0,1787.0,1465.0391845703125,3.0,0.0,0.0,0.0,1668050639.908315
467689213.0,1828.0,1787.0,1465.408935546875,3.0,0.0,0.0,0.0,1668050640.008234
467789190.0,1828.0,1787.0,1465.6280517578125,3.0,0.0,0.0,0.0,1668050640.108211
467889150.0,1828.0,1787.0,1465.5157470703125,3.0,0.0,0.0,0.0,1668050640.208171
467989225.0,1828.0,1787.0,1465.252197265625,3.0,0.0,0.0,0.0,1668050640.308246
468089261.0,1828.0,1787.0,1464.82666015625,3.0,0.0,0.0,0.0,1668050640.408282
468189204.0,1828.0,1787.0,1464.3988037109375,3.0,0.0,0.0,0.0,1668050640.508225
468289771.0,1828.0,1787.0,1464.0306396484375,3.0,0.0,0.0,0.0,1668050640.608792
468389370.0,1828.0,1787.0,1463.7666015625,3.0,0.0,0.0,0.0,1668050640.708391
468489827.0,1828.0,1787.0,1463.773681640625,3.0,0.0,0.0,0.0,1668050640.808848
468589097.0,1828.0,1787.0,1463.904296875,3.0,0.0,0.0,0.0,1668050640.908118
468689241.0,1828.0,1787.0,1464.0772705078125,3.0,0.0,0.0,0.0,1668050641.008262
468789244.0,1828.0,1787.0,1464.2603759765625,3.0,0.0,0.0,0.0,1668050641.108265
468889304.0,1828.0,1787.0,1464.42236328125,3.0,0.0,0.0,0.0,1668050641.208325
468989247.0,1828.0,1787.0,1464.501953125,3.0,0.0,0.0,0.0,1668050641.308268
469089271.0,1828.0,1787.0,1464.501708984375,3.0,0.0,0.0,0.0,1668050641.408292
469189251.0,1828.0,1787.0,1464.486083984375,3.0,0.0,0.0,0.0,1668050641.508272
469289528.0,1828.0,1787.0,1464.316162109375,3.0,0.0,0.0,0.0,1668050641.6085489
469389200.0,1828.0,1787.0,1463.9814453125,3.0,0.0,0.0,0.0,1668050641.708221
469489262.0,1828.0,1787.0,1463.672607421875,3.0,0.0,0.0,0.0,1668050641.808283
469589392.0,1828.0,1787.0,1463.5125732421875,3.0,0.0,0.0,0.0,1668050641.908413
469689213.0,1828.0,1787.0,1463.7904052734375,3.0,0.0,0.0,0.0,1668050642.008234
